,진료년도,상병구분,시도,SIGUNGU_NM,SIGUNGU_CD,성별,환자수,입내원일수,요양급여비용총액
75,2023,ADHD,부산,부산연제구,21130,여,833,7235,755527000
76,2023,ADHD,부산,부산수영구,21140,남,276,2040,175000150
77,2023,ADHD,부산,부산수영구,21140,여,322,2582,217069300
78,2023,ADHD,부산,부산사상구,21150,남,799,6929,725355460
79,2023,ADHD,부산,부산사상구,21150,여,439,3772,362088870
80,2023,ADHD,부산,부산기장군,21510,남,575,5627,552143410
81,2023,ADHD,부산,부산기장군,21510,여,245,2112,191691940
82,2023,ADHD,인천,인천미추홀구,23090,남,304,1953,128845400
83,2023,ADHD,인천,인천미추홀구,23090,여,190,1136,66117550
84,2023,ADHD,인천,인천동구,23020,남,51,337,35996130
85,2023,ADHD,인천,인천동구,23020,여,14,78,5657300
86,2023,ADHD,인천,인천부평구,23060,남,569,4254,405336450
87,2023,ADHD,인천,인천부평구,23060,여,354,2774,262303670
88,2023,ADHD,인천,인천중구,23010,남,597,3384,299787470
89,2023,ADHD,인천,인천중구,23010,여,320,1959,181961640
90,2023,ADHD,인천,인천서구,23080,남,1504,10341,1047369600
91,2023,ADHD,인천,인천서구,23080,여,834,5217,512332830
92,2023,ADHD,인천,인천남동구,23050,남,1491,10625,790878510
93,2023,ADHD,인천,인천남동구,23050,여,903,6159,559482930
94,2023,ADHD,인천,인천연수구,23040,남,1059,7858,762803000
95,2023,ADHD,인천,인천연수구,23040,여,453,3200,308908290
96,2023,ADHD,인천,인천계양구,23070,남,509,4534,277475470
97,2023,ADHD,인천,인천계양구,23070,여,195,1401,101683100
98,2023,ADHD,인천,인천강화군,23510,남,24,545,65408710
99,2023,ADHD,인천,인천강화군,23510,여,20,136,13357780
100,2023,ADHD,인천,인천옹진군,23520,남,0,0,0
101,2023,ADHD,인천,인천옹진군,23520,여,0,0,0
102,2023,ADHD,대구,대구남구,22040,남,640,4090,437356350
103,2023,ADHD,대구,대구남구,22040,여,233,1309,136819750
104,2023,ADHD,대구,대구동구,22020,남,387,3065,286203350
105,2023,ADHD,대구,대구동구,22020,여,220,1346,126873080
106,2023,ADHD,대구,대구북구,22050,남,1340,9420,737711920
107,2023,ADHD,대구,대구북구,22050,여,743,5267,449711730
108,2023,ADHD,대구,대구서구,22030,남,111,900,65483570
109,2023,ADHD,대구,대구서구,22030,여,41,233,15522100
110,2023,ADHD,대구,대구수성구,22060,남,2479,21013,1910856420
111,2023,ADHD,대구,대구수성구,22060,여,1296,10354,955964090
112,2023,ADHD,대구,대구중구,22010,남,617,4930,442227550
113,2023,ADHD,대구,대구중구,22010,여,394,2273,182564630
114,2023,ADHD,대구,대구달서구,22070,남,1059,9324,914076270
115,2023,ADHD,대구,대구달서구,22070,여,466,3558,334777890
116,2023,ADHD,대구,대구달성군,22510,남,308,2207,194255570
117,2023,ADHD,대구,대구달성군,22510,여,237,1523,133235010
118,2023,ADHD,광주,광주동구,24010,남,520,3189,300010410
119,2023,ADHD,광주,광주동구,24010,여,285,1643,158961980
120,2023,ADHD,광주,광주북구,24040,남,995,8703,512529690
121,2023,ADHD,광주,광주북구,24040,여,375,2650,185314400
122,2023,ADHD,광주,광주서구,24020,남,923,7324,382183130
123,2023,ADHD,광주,광주서구,24020,여,621,4691,375452050
124,2023,ADHD,광주,광주광산구,24050,남,119,1177,96179680
125,2023,ADHD,광주,광주광산구,24050,여,73,491,39065600
126,2023,ADHD,광주,광주남구,24030,남,522,4019,363514140
127,2023,ADHD,광주,광주남구,24030,여,282,1882,173214400
128,2023,ADHD,대전,대전유성구,25040,남,587,3686,328172790
129,2023,ADHD,대전,대전유성구,25040,여,466,2681,243549500
130,2023,ADHD,대전,대전대덕구,25050,남,106,887,73692490
131,2023,ADHD,대전,대전대덕구,25050,여,72,828,68286780
132,2023,ADHD,대전,대전서구,25030,남,2270,18549,1448395040
133,2023,ADHD,대전,대전서구,25030,여,1270,9503,780393770
134,2023,ADHD,대전,대전동구,25010,남,101,760,51111090
135,2023,ADHD,대전,대전동구,25010,여,70,415,29696740
136,2023,ADHD,대전,대전중구,25020,남,709,4380,330716920
137,2023,ADHD,대전,대전중구,25020,여,291,2373,190866850
138,2023,ADHD,울산,울산남구,26020,남,2693,23887,1497512080
139,2023,ADHD,울산,울산남구,26020,여,1068,8345,537133030
140,2023,ADHD,울산,울산동구,26030,남,92,347,50551870
141,2023,ADHD,울산,울산동구,26030,여,23,115,14455740
142,2023,ADHD,울산,울산중구,26010,남,100,603,37350060
143,2023,ADHD,울산,울산중구,26010,여,45,213,12451390
144,2023,ADHD,울산,울산북구,26040,남,115,696,52047980
145,2023,ADHD,울산,울산북구,26040,여,94,521,36411340
146,2023,ADHD,울산,울산울주군,26510,남,13,114,9816730
147,2023,ADHD,울산,울산울주군,26510,여,0,0,0
148,2023,ADHD,경기,가평군,31570,남,0,0,0
149,2023,ADHD,경기,가평군,31570,여,0,0,0
150,2023,ADHD,경기,양평군,31580,남,17,65,2923560
151,2023,ADHD,경기,양평군,31580,여,0,0,0
152,2023,ADHD,경기,연천군,31550,남,0,0,0
153,2023,ADHD,경기,연천군,31550,여,0,0,0
154,2023,ADHD,경기,광명시,31060,남,616,5652,617940600
155,2023,ADHD,경기,광명시,31060,여,297,2188,229102280
156,2023,ADHD,경기,동두천시,31080,남,179,1213,74227850
157,2023,ADHD,경기,동두천시,31080,여,102,756,44262550
158,2023,ADHD,경기,부천시,31050,남,2469,19479,1751154480
159,2023,ADHD,경기,부천시,31050,여,1197,8588,780766580
160,2023,ADHD,경기,부천소사구,31050,남,134,585,71412880
161,2023,ADHD,경기,부천소사구,31050,여,81,227,28221970
162,2023,ADHD,경기,부천오정구,31050,남,0,0,0
163,2023,ADHD,경기,부천오정구,31050,여,0,0,0
164,2023,ADHD,경기,부천원미구,31050,남,1350,2264,178701600
165,2023,ADHD,경기,부천원미구,31050,여,594,1014,83431500
166,2023,ADHD,경기,성남수정구,31021,남,468,3664,355096730
167,2023,ADHD,경기,성남수정구,31021,여,264,2034,180207170
168,2023,ADHD,경기,성남중원구,31022,남,328,2621,266380540
169,2023,ADHD,경기,성남중원구,31022,여,241,1542,158925970
170,2023,ADHD,경기,성남분당구,31023,남,4524,33289,2328074180
171,2023,ADHD,경기,성남분당구,31023,여,2506,16819,1351552370
172,2023,ADHD,경기,수원권선구,31012,남,263,1396,97029980
173,2023,ADHD,경기,수원권선구,31012,여,163,888,59878000
174,2023,ADHD,경기,수원장안구,31011,남,634,4579,341637690
175,2023,ADHD,경기,수원장안구,31011,여,345,2807,218994900
176,2023,ADHD,경기,수원팔달구,31013,남,2078,15241,1776048090
177,2023,ADHD,경기,수원팔달구,31013,여,1581,10957,1349316190
178,2023,ADHD,경기,수원영통구,31014,남,2273,13943,1359434630
179,2023,ADHD,경기,수원영통구,31014,여,1187,7222,702667010
180,2023,ADHD,경기,안양만안구,31041,남,365,2057,223897390
181,2023,ADHD,경기,안양만안구,31041,여,224,1315,131640250
182,2023,ADHD,경기,안양동안구,31042,남,2002,14996,1164078290
183,2023,ADHD,경기,안양동안구,31042,여,1009,7090,604807860
184,2023,ADHD,경기,의정부시,31030,남,1560,12963,1089206070
185,2023,ADHD,경기,의정부시,31030,여,687,4518,374317260
186,2023,ADHD,경기,과천시,31110,남,49,315,35302450
187,2023,ADHD,경기,과천시,31110,여,41,305,30872990
188,2023,ADHD,경기,구리시,31120,남,544,4005,200750520
189,2023,ADHD,경기,구리시,31120,여,257,1609,98658950
190,2023,ADHD,경기,안산단원구,31092,남,1012,8522,626577480
191,2023,ADHD,경기,안산단원구,31092,여,384,2714,210761600
192,2023,ADHD,경기,안산상록구,31091,남,42,275,21689990
193,2023,ADHD,경기,안산상록구,31091,여,27,291,29405830
194,2023,ADHD,경기,평택시,31070,남,1315,9295,827255730
195,2023,ADHD,경기,평택시,31070,여,670,4165,386993000
196,2023,ADHD,경기,하남시,31180,남,1129,7550,856165210
197,2023,ADHD,경기,하남시,31180,여,714,4787,512767210
198,2023,ADHD,경기,군포시,31160,남,371,3088,310788320
199,2023,ADHD,경기,군포시,31160,여,205,1622,151672340
200,2023,ADHD,경기,남양주시,31130,남,1266,8909,889957840
201,2023,ADHD,경기,남양주시,31130,여,736,4573,424324310
202,2023,ADHD,경기,의왕시,31170,남,30,269,32897650
203,2023,ADHD,경기,의왕시,31170,여,0,0,0
204,2023,ADHD,경기,시흥시,31150,남,542,4655,420864260
205,2023,ADHD,경기,시흥시,31150,여,285,2376,229515130
206,2023,ADHD,경기,오산시,31140,남,406,3266,329596070
207,2023,ADHD,경기,오산시,31140,여,135,957,102447690
208,2023,ADHD,경기,고양덕양구,31101,남,867,6481,605340190
209,2023,ADHD,경기,고양덕양구,31101,여,652,4901,472181830
210,2023,ADHD,경기,고양일산서구,31104,남,1007,7512,375217410
211,2023,ADHD,경기,고양일산서구,31104,여,541,3668,194339150
212,2023,ADHD,경기,고양일산동구,31103,남,1607,11332,690375930
213,2023,ADHD,경기,고양일산동구,31103,여,688,4705,297573820
214,2023,ADHD,경기,용인기흥구,31192,남,734,6387,451491780
215,2023,ADHD,경기,용인기흥구,31192,여,593,4947,345588680
216,2023,ADHD,경기,용인수지구,31193,남,1213,9451,884368510
217,2023,ADHD,경기,용인수지구,31193,여,536,3943,350418950
218,2023,ADHD,경기,용인처인구,31191,남,189,1028,89572370
219,2023,ADHD,경기,용인처인구,31191,여,169,871,80376680
220,2023,ADHD,경기,이천시,31210,남,239,1269,93809690
221,2023,ADHD,경기,이천시,31210,여,175,892,74233350
222,2023,ADHD,경기,파주시,31200,남,797,7231,645677660
223,2023,ADHD,경기,파주시,31200,여,513,4313,369615710
224,2023,ADHD,경기,김포시,31230,남,778,5652,394016830
225,2023,ADHD,경기,김포시,31230,여,436,2822,247546450
226,2023,ADHD,경기,안성시,31220,남,40,265,16299100
227,2023,ADHD,경기,안성시,31220,여,18,78,4557590
228,2023,ADHD,경기,화성시,31240,남,1862,13975,1266014490
229,2023,ADHD,경기,화성시,31240,여,827,5431,514631190
230,2023,ADHD,경기,광주시,31250,남,482,3745,371925940
231,2023,ADHD,경기,광주시,31250,여,224,1647,160986990
232,2023,ADHD,경기,양주시,31260,남,125,651,46020450
233,2023,ADHD,경기,양주시,31260,여,73,379,26136930
234,2023,ADHD,경기,포천시,31270,남,11,32,1503520
235,2023,ADHD,경기,포천시,31270,여,0,0,0
236,2023,ADHD,경기,여주시,31280,남,115,1094,46251510
237,2023,ADHD,경기,여주시,31280,여,43,220,8331830
238,2023,ADHD,강원,고성군,32600,남,0,0,0
239,2023,ADHD,강원,고성군,38540,남,0,0,0
240,2023,ADHD,강원,고성군,32600,여,0,0,0
241,2023,ADHD,강원,고성군,38540,여,0,0,0
242,2023,ADHD,강원,양구군,32580,남,0,0,0
243,2023,ADHD,강원,양구군,32580,여,0,0,0
244,2023,ADHD,강원,양양군,32610,남,0,0,0
245,2023,ADHD,강원,양양군,32610,여,0,0,0
246,2023,ADHD,강원,영월군,32530,남,0,0,0
247,2023,ADHD,강원,영월군,32530,여,0,0,0
248,2023,ADHD,강원,인제군,32590,남,0,0,0
249,2023,ADHD,강원,인제군,32590,여,0,0,0
250,2023,ADHD,강원,정선군,32550,남,0,0,0
251,2023,ADHD,강원,정선군,32550,여,0,0,0
252,2023,ADHD,강원,철원군,32560,남,0,0,0
253,2023,ADHD,강원,철원군,32560,여,0,0,0
254,2023,ADHD,강원,평창군,32540,남,0,0,0
255,2023,ADHD,강원,평창군,32540,여,0,0,0
256,2023,ADHD,강원,홍천군,32510,남,0,0,0
257,2023,ADHD,강원,홍천군,32510,여,0,0,0
258,2023,ADHD,강원,화천군,32570,남,0,0,0
259,2023,ADHD,강원,화천군,32570,여,0,0,0
260,2023,ADHD,강원,횡성군,32520,남,0,0,0
261,2023,ADHD,강원,횡성군,32520,여,0,0,0
262,2023,ADHD,강원,강릉시,32030,남,461,2705,223494320
263,2023,ADHD,강원,강릉시,32030,여,167,910,76527370
264,2023,ADHD,강원,동해시,32040,남,0,0,0
265,2023,ADHD,강원,동해시,32040,여,0,0,0
266,2023,ADHD,강원,속초시,32060,남,22,141,6962080
267,2023,ADHD,강원,속초시,32060,여,14,58,2287300
268,2023,ADHD,강원,원주시,32020,남,1093,8098,699298550
269,2023,ADHD,강원,원주시,32020,여,485,2980,243651860
270,2023,ADHD,강원,춘천시,32010,남,763,5132,320675890
271,2023,ADHD,강원,춘천시,32010,여,312,1834,132888030
272,2023,ADHD,강원,태백시,32050,남,0,0,0
273,2023,ADHD,강원,태백시,32050,여,0,0,0
274,2023,ADHD,강원,삼척시,32070,남,71,440,49280140
275,2023,ADHD,강원,삼척시,32070,여,91,547,59332200
276,2023,ADHD,충북,괴산군,33560,남,0,0,0
277,2023,ADHD,충북,괴산군,33560,여,0,0,0
278,2023,ADHD,충북,단양군,33580,남,0,0,0
279,2023,ADHD,충북,단양군,33580,여,0,0,0
280,2023,ADHD,충북,보은군,33520,남,0,0,0
281,2023,ADHD,충북,보은군,33520,여,0,0,0
282,2023,ADHD,충북,영동군,33540,남,0,0,0
283,2023,ADHD,충북,영동군,33540,여,0,0,0
284,2023,ADHD,충북,옥천군,33530,남,0,0,0
285,2023,ADHD,충북,옥천군,33530,여,0,0,0
286,2023,ADHD,충북,음성군,33570,남,42,397,34824880
287,2023,ADHD,충북,음성군,33570,여,13,55,5093040
288,2023,ADHD,충북,진천군,33550,남,66,368,29700870
289,2023,ADHD,충북,진천군,33550,여,41,223,17548010
290,2023,ADHD,충북,증평군,33590,남,0,0,0
291,2023,ADHD,충북,증평군,33590,여,0,0,0
292,2023,ADHD,충북,청주상당구,33041,남,211,1238,110331010
293,2023,ADHD,충북,청주상당구,33041,여,177,851,81735050
294,2023,ADHD,충북,청주흥덕구,33043,남,1227,7815,524148810
295,2023,ADHD,충북,청주흥덕구,33043,여,625,3680,237252770
296,2023,ADHD,충북,청주청원구,33044,남,477,2820,197238920
297,2023,ADHD,충북,청주청원구,33044,여,232,1317,94155070
298,2023,ADHD,충북,청주서원구,33042,남,329,1344,93454290
299,2023,ADHD,충북,청주서원구,33042,여,78,282,20192590
300,2023,ADHD,충북,충주시,33020,남,241,1827,134528510
301,2023,ADHD,충북,충주시,33020,여,62,390,28096310
302,2023,ADHD,충북,제천시,33030,남,31,130,7067880
303,2023,ADHD,충북,제천시,33030,여,0,0,0
304,2023,ADHD,충남,금산군,34510,남,31,276,14542670
305,2023,ADHD,충남,금산군,34510,여,0,0,0
306,2023,ADHD,충남,부여군,34530,남,13,38,1742670
307,2023,ADHD,충남,부여군,34530,여,0,0,0
308,2023,ADHD,충남,서천군,34540,남,0,0,0
309,2023,ADHD,충남,서천군,34540,여,0,0,0
310,2023,ADHD,충남,예산군,34570,남,167,1193,118224210
311,2023,ADHD,충남,예산군,34570,여,68,425,38127250
312,2023,ADHD,충남,청양군,34550,남,0,0,0
313,2023,ADHD,충남,청양군,34550,여,0,0,0
314,2023,ADHD,충남,홍성군,34560,남,25,171,16654840
315,2023,ADHD,충남,홍성군,34560,여,13,70,6618630
316,2023,ADHD,충남,태안군,34580,남,0,0,0
317,2023,ADHD,충남,태안군,34580,여,0,0,0
318,2023,ADHD,충남,천안서북구,34012,남,693,5588,515937920
319,2023,ADHD,충남,천안서북구,34012,여,510,3722,322778050
320,2023,ADHD,충남,천안동남구,34011,남,702,3827,297554680
321,2023,ADHD,충남,천안동남구,34011,여,315,1859,126897860
322,2023,ADHD,충남,공주시,34020,남,154,1031,115607900
323,2023,ADHD,충남,공주시,34020,여,49,288,26225280
324,2023,ADHD,충남,보령시,34030,남,27,156,6099930
325,2023,ADHD,충남,보령시,34030,여,18,116,5659050
326,2023,ADHD,충남,아산시,34040,남,1203,9029,399215400
327,2023,ADHD,충남,아산시,34040,여,362,2266,109685860
328,2023,ADHD,충남,서산시,34050,남,131,763,23598970
329,2023,ADHD,충남,서산시,34050,여,62,354,11378950
330,2023,ADHD,충남,논산시,34060,남,29,84,7114050
331,2023,ADHD,충남,논산시,34060,여,14,35,2329140
332,2023,ADHD,충남,계룡시,34070,남,0,0,0
333,2023,ADHD,충남,계룡시,34070,여,0,0,0
334,2023,ADHD,충남,당진시,34080,남,233,1621,113543610
335,2023,ADHD,충남,당진시,34080,여,62,402,26808980
336,2023,ADHD,전북,고창군,35570,남,0,0,0
337,2023,ADHD,전북,고창군,35570,여,0,0,0
338,2023,ADHD,전북,무주군,35530,남,0,0,0
339,2023,ADHD,전북,무주군,35530,여,0,0,0
340,2023,ADHD,전북,부안군,35580,남,0,0,0
341,2023,ADHD,전북,부안군,35580,여,0,0,0
342,2023,ADHD,전북,순창군,35560,남,0,0,0
343,2023,ADHD,전북,순창군,35560,여,0,0,0
344,2023,ADHD,전북,완주군,35510,남,100,497,51860790
345,2023,ADHD,전북,완주군,35510,여,42,299,29635990
346,2023,ADHD,전북,임실군,35550,남,0,0,0
347,2023,ADHD,전북,임실군,35550,여,0,0,0
348,2023,ADHD,전북,장수군,35540,남,0,0,0
349,2023,ADHD,전북,장수군,35540,여,0,0,0
350,2023,ADHD,전북,진안군,35520,남,0,0,0
351,2023,ADHD,전북,진안군,35520,여,0,0,0
352,2023,ADHD,전북,군산시,35020,남,211,1371,107173700
353,2023,ADHD,전북,군산시,35020,여,104,537,37139970
354,2023,ADHD,전북,남원시,35050,남,11,12,312450
355,2023,ADHD,전북,남원시,35050,여,0,0,0
356,2023,ADHD,전북,익산시,35030,남,350,2451,277282010
357,2023,ADHD,전북,익산시,35030,여,145,942,101729410
358,2023,ADHD,전북,전주완산구,35011,남,861,6816,415019540
359,2023,ADHD,전북,전주완산구,35011,여,470,3247,238512570
360,2023,ADHD,전북,전주덕진구,35012,남,953,5216,436590310
361,2023,ADHD,전북,전주덕진구,35012,여,361,1996,158129980
362,2023,ADHD,전북,정읍시,35040,남,56,279,15356940
363,2023,ADHD,전북,정읍시,35040,여,26,87,4542520
364,2023,ADHD,전북,김제시,35060,남,29,243,14955610
365,2023,ADHD,전북,김제시,35060,여,11,52,1972290
366,2023,ADHD,전남,강진군,36590,남,12,61,7513160
367,2023,ADHD,전남,강진군,36590,여,0,0,0
368,2023,ADHD,전남,고흥군,36550,남,10,123,5934440
369,2023,ADHD,전남,고흥군,36550,여,0,0,0
370,2023,ADHD,전남,곡성군,36520,남,0,0,0
371,2023,ADHD,전남,곡성군,36520,여,0,0,0
372,2023,ADHD,전남,구례군,36530,남,0,0,0
373,2023,ADHD,전남,구례군,36530,여,0,0,0
374,2023,ADHD,전남,담양군,36510,남,20,380,39066110
375,2023,ADHD,전남,담양군,36510,여,10,70,7395410
376,2023,ADHD,전남,무안군,36620,남,0,0,0
377,2023,ADHD,전남,무안군,36620,여,0,0,0
378,2023,ADHD,전남,보성군,36560,남,0,0,0
379,2023,ADHD,전남,보성군,36560,여,0,0,0
380,2023,ADHD,전남,신안군,36680,남,0,0,0
381,2023,ADHD,전남,신안군,36680,여,0,0,0
382,2023,ADHD,전남,영광군,36640,남,46,440,37716510
383,2023,ADHD,전남,영광군,36640,여,14,156,12669190
384,2023,ADHD,전남,영암군,36610,남,0,0,0
385,2023,ADHD,전남,영암군,36610,여,0,0,0
386,2023,ADHD,전남,완도군,36660,남,0,0,0
387,2023,ADHD,전남,완도군,36660,여,0,0,0
388,2023,ADHD,전남,장성군,36650,남,0,0,0
389,2023,ADHD,전남,장성군,36650,여,0,0,0
390,2023,ADHD,전남,장흥군,36580,남,0,0,0
391,2023,ADHD,전남,장흥군,36580,여,0,0,0
392,2023,ADHD,전남,진도군,36670,남,0,0,0
393,2023,ADHD,전남,진도군,36670,여,0,0,0
394,2023,ADHD,전남,함평군,36630,남,11,61,7824560
395,2023,ADHD,전남,함평군,36630,여,0,0,0
396,2023,ADHD,전남,해남군,36600,남,58,337,36216700
397,2023,ADHD,전남,해남군,36600,여,12,60,5466910
398,2023,ADHD,전남,화순군,36570,남,24,100,12490940
399,2023,ADHD,전남,화순군,36570,여,0,0,0
400,2023,ADHD,전남,나주시,36040,남,247,1526,178223690
401,2023,ADHD,전남,나주시,36040,여,85,509,58859150
402,2023,ADHD,전남,목포시,36010,남,439,3111,176405290
403,2023,ADHD,전남,목포시,36010,여,234,1429,85545990
404,2023,ADHD,전남,순천시,36030,남,609,4286,448185560
405,2023,ADHD,전남,순천시,36030,여,285,1754,177679980
406,2023,ADHD,전남,여수시,36020,남,362,3154,176177110
407,2023,ADHD,전남,여수시,36020,여,124,968,56208210
408,2023,ADHD,전남,광양시,36060,남,217,1274,91797750
409,2023,ADHD,전남,광양시,36060,여,75,336,29286210
410,2023,ADHD,경북,고령군,37570,남,0,0,0
411,2023,ADHD,경북,고령군,37570,여,0,0,0
412,2023,ADHD,경북,군위군,22520,남,0,0,0
413,2023,ADHD,경북,군위군,22520,여,0,0,0
414,2023,ADHD,경북,봉화군,37610,남,0,0,0
415,2023,ADHD,경북,봉화군,37610,여,0,0,0
416,2023,ADHD,경북,성주군,37580,남,0,0,0
417,2023,ADHD,경북,성주군,37580,여,0,0,0
418,2023,ADHD,경북,영덕군,37550,남,0,0,0
419,2023,ADHD,경북,영덕군,37550,여,0,0,0
420,2023,ADHD,경북,영양군,37540,남,0,0,0
421,2023,ADHD,경북,영양군,37540,여,0,0,0
422,2023,ADHD,경북,예천군,37600,남,0,0,0
423,2023,ADHD,경북,예천군,37600,여,0,0,0
424,2023,ADHD,경북,울릉군,37630,남,0,0,0
425,2023,ADHD,경북,울릉군,37630,여,0,0,0
426,2023,ADHD,경북,울진군,37620,남,0,0,0
427,2023,ADHD,경북,울진군,37620,여,0,0,0
428,2023,ADHD,경북,의성군,37520,남,0,0,0
429,2023,ADHD,경북,의성군,37520,여,0,0,0
430,2023,ADHD,경북,청도군,37560,남,0,0,0
431,2023,ADHD,경북,청도군,37560,여,0,0,0
432,2023,ADHD,경북,청송군,37530,남,0,0,0
433,2023,ADHD,경북,청송군,37530,여,0,0,0
434,2023,ADHD,경북,칠곡군,37590,남,43,154,9017190
435,2023,ADHD,경북,칠곡군,37590,여,0,0,0
436,2023,ADHD,경북,경주시,37020,남,144,1081,86555480
437,2023,ADHD,경북,경주시,37020,여,73,622,53956840
438,2023,ADHD,경북,구미시,37050,남,878,6119,598232240
439,2023,ADHD,경북,구미시,37050,여,373,2142,209991100
440,2023,ADHD,경북,김천시,37030,남,82,560,40348020
441,2023,ADHD,경북,김천시,37030,여,34,216,12039840
442,2023,ADHD,경북,안동시,37040,남,131,601,45323550
443,2023,ADHD,경북,안동시,37040,여,53,306,25103870
444,2023,ADHD,경북,영주시,37060,남,33,213,7310560
445,2023,ADHD,경북,영주시,37060,여,0,0,0
446,2023,ADHD,경북,영천시,37070,남,22,162,10655860
447,2023,ADHD,경북,영천시,37070,여,0,0,0
448,2023,ADHD,경북,포항남구,37011,남,177,1340,133361690
